samples,group
Atom02_1,Atom02
Atom02_2,Atom02
Atom02_3,Atom02
Atom02_4,Atom02
Atom5_1,Atom5
Atom5_2,Atom5
Atom5_3,Atom5
Atom5_4,Atom5
Atom10_1,Atom10
Atom10_2,Atom10
Atom10_3,Atom10
Atom10_4,Atom10
Atom20_1,Atom20
Atom20_2,Atom20
Atom20_3,Atom20
Atom20_4,Atom20
Atom30_1,Atom30
Atom30_2,Atom30
Atom30_3,Atom30
Atom30_4,Atom30
Atom40_1,Atom40
Atom40_2,Atom40
Atom40_3,Atom40
Atom40_4,Atom40
Atom50_1,Atom50
Atom50_2,Atom50
Atom50_3,Atom50
Atom50_4,Atom50
Atom60_1,Atom60
Atom60_2,Atom60
Atom60_3,Atom60
Atom60_4,Atom60
Atom70_1,Atom70
Atom70_2,Atom70
Atom70_3,Atom70
Atom70_4,Atom70
Atom80_1,Atom80
Atom80_2,Atom80
Atom80_3,Atom80
Atom80_4,Atom80
